SOURCE,TARGET,RATING,DATE,TIME
1,74,1,2010-12-29,00:34:34
1,76,2,2011-02-02,08:20:15
1,773,1,2011-06-01,16:39:15
1,779,1,2011-06-03,18:08:45
1,78,1,2010-12-30,23:52:53
1,8,7,2011-06-16,18:31:44
1,80,2,2011-05-10,23:48:10
1,81,1,2011-01-14,06:14:02
1,823,3,2012-03-06,06:52:36
1,861,1,2011-07-24,22:10:16
1,882,1,2011-07-22,00:18:22
1,9,2,2011-06-03,07:39:14
1,905,-5,2014-09-29,06:55:11
10,1,8,2010-11-12,10:54:16
10,2,7,2010-11-12,10:57:51
10,21,8,2010-11-12,10:55:45
10,25,10,2010-11-12,10:57:21
10,3,7,2010-11-12,10:57:55
10,41,8,2011-12-09,03:40:50
10,6,7,2010-11-12,10:55:31
10,8,1,2010-11-12,10:56:07
100,1,3,2011-01-31,23:37:07
100,101,1,2011-01-17,01:11:14
100,111,1,2011-02-11,01:56:01
100,132,1,2011-02-10,04:25:56
100,1810,1,2012-11-15,21:28:06
100,202,1,2011-03-15,23:00:23
100,3087,1,2012-11-30,06:30:34
100,4198,-10,2013-12-11,01:39:20
100,60,2,2011-01-19,00:51:06
100,64,1,2011-02-11,02:06:07
100,7,4,2011-02-01,03:49:43
100,781,1,2011-06-01,23:23:13
1000,554,2,2011-06-09,00:16:28
1001,1002,2,2011-06-09,00:39:56
1001,1003,2,2011-06-09,00:51:56
1001,1396,2,2013-03-20,19:22:44
1001,1764,5,2012-07-20,17:14:25
1001,273,2,2011-06-09,00:37:37
1001,3099,2,2013-03-20,19:22:28
1001,3597,2,2013-03-20,19:23:18
1001,3744,-10,2013-03-29,21:14:22
1001,492,1,2011-06-09,00:39:49
1001,928,1,2011-06-09,01:35:10
1002,1001,2,2011-06-09,01:12:23
1003,1001,2,2011-06-09,00:53:22
1004,978,4,2011-06-09,00:59:31
1005,1004,1,2011-06-10,14:13:01
1005,1013,3,2011-06-10,00:09:18
1005,1014,1,2011-06-10,06:45:39
1005,1040,2,2011-06-09,22:28:38
1005,1045,1,2011-06-10,01:01:26
1005,1048,3,2011-06-10,01:42:22
1005,1050,3,2011-06-10,06:36:16
1005,1105,1,2011-06-15,01:00:58
1005,1139,1,2011-06-14,20:43:27
1005,1194,1,2011-06-20,07:07:03
1005,908,3,2011-06-10,11:12:58
1006,492,2,2011-06-09,02:30:37
1006,832,2,2011-06-10,20:05:25
1007,742,1,2011-06-09,02:37:40
1008,1055,1,2011-06-10,04:51:17
1008,1056,2,2011-06-10,06:25:24
1008,1059,1,2011-06-10,07:31:34
1008,1096,1,2011-06-11,21:54:19
1008,1100,3,2011-06-12,11:36:17
1008,152,1,2011-06-10,07:55:50
1008,923,3,2011-06-11,21:01:36
1009,1048,2,2011-06-10,01:41:28
1009,1053,2,2011-06-10,03:59:40
1009,832,3,2011-06-10,00:40:13
101,1,1,2011-01-17,00:17:44
101,103,1,2011-01-17,01:25:55
101,134,1,2011-03-24,03:30:41
101,315,-10,2011-04-26,09:36:30
101,454,1,2011-05-22,04:28:06
1010,537,1,2011-06-09,04:05:11
1010,832,1,2011-06-09,04:15:36
1010,853,2,2011-06-10,08:13:08
1010,967,1,2011-06-09,03:14:42
1011,1383,1,2011-08-05,04:27:45
1011,273,2,2011-06-09,04:03:54
1011,7,3,2011-07-08,05:35:43
1012,554,10,2011-06-09,04:05:28
1013,1005,3,2011-06-10,00:07:44
1013,1039,1,2011-06-09,19:35:16
1013,1048,3,2011-06-10,02:29:29
1013,1092,10,2011-06-14,20:19:04
1013,523,1,2011-06-09,20:34:34
1013,908,10,2011-06-09,05:56:47
1013,925,1,2011-06-10,02:51:32
1013,928,3,2011-06-10,01:36:31
1013,978,2,2011-06-09,18:02:17
1014,1005,1,2011-06-10,06:46:17
1014,1043,1,2011-06-10,06:41:40
1014,777,10,2011-06-10,07:17:31
1015,824,4,2011-06-09,05:02:25
1016,908,1,2011-06-09,05:50:12
1017,908,5,2011-06-09,06:06:43
1018,1019,1,2011-06-09,08:06:16
1018,104,1,2012-12-01,02:05:14
1018,1154,1,2011-06-15,06:24:56
1018,1159,2,2013-03-19,20:20:50
1018,1165,1,2011-06-20,09:09:46
1018,1201,2,2011-08-04,01:09:46
1018,1281,1,2012-12-04,21:51:12
1018,1316,1,2014-06-13,04:05:14
1018,1394,1,2012-12-10,19:13:31
1018,1439,4,2011-09-03,00:51:21
1018,1502,1,2012-12-11,17:25:19
1018,1548,1,2013-02-18,22:27:08
1018,1565,2,2012-12-13,22:35:21
1018,1620,1,2013-02-05,22:23:56
1018,1656,1,2014-09-17,17:27:39
1018,17,2,2013-04-29,16:42:28
1018,171,1,2013-02-15,01:39:51
1018,1714,1,2012-01-14,07:39:48
1018,1731,6,2013-10-21,05:29:19
1018,1810,3,2015-01-10,00:37:45
1018,1819,1,2013-09-17,21:59:20
1018,1829,2,2013-09-18,01:08:04
1018,1885,4,2013-01-24,16:33:32
1018,1899,3,2013-07-25,22:20:00
1018,1911,1,2013-07-29,18:57:08
1018,1912,1,2012-12-01,00:46:02
1018,1967,1,2013-04-03,00:28:21
1018,202,1,2012-12-18,03:32:40
1018,2028,-2,2014-03-13,21:29:22
1018,2045,1,2013-01-07,22:17:40
1018,2067,1,2012-12-30,02:58:37
1018,2098,1,2013-01-30,18:07:56
1018,2110,1,2013-10-25,19:17:02
1018,2124,5,2016-01-11,23:50:38
1018,2125,3,2013-03-20,19:04:29
1018,215,3,2015-12-02,22:56:21
1018,2178,1,2013-02-05,03:39:57
1018,2198,5,2012-10-07,04:03:30
1018,2252,2,2013-10-17,22:44:19
1018,2291,6,2013-01-06,04:05:22
1018,2296,1,2012-10-07,03:58:39
1018,230,10,2013-02-18,07:58:05
1018,2306,1,2014-12-27,03:17:10
1018,2328,2,2013-01-26,00:31:24
1018,2334,2,2013-01-08,06:51:08
1018,2364,1,2012-10-16,18:34:40
1018,2388,3,2013-05-10,22:55:02
1018,2398,2,2015-03-26,15:04:23
1018,2404,1,2013-04-04,17:31:02
1018,2405,1,2012-12-26,01:06:00
1018,2486,1,2014-03-14,04:07:29
1018,2498,-9,2014-09-23,20:11:50
1018,2538,1,2013-08-05,22:05:38
1018,256,1,2012-12-09,20:35:01
1018,2594,1,2013-03-21,20:12:06
1018,2600,1,2013-02-06,04:09:12
1018,2625,3,2013-03-05,18:42:44
1018,2642,7,2013-03-05,04:42:43
1018,2692,7,2013-03-11,18:50:33
1018,270,1,2013-11-27,16:38:22
1018,2725,1,2013-01-02,23:26:33
1018,2728,2,2013-03-05,22:23:27
1018,2757,1,2012-10-07,03:57:21
1018,2763,7,2013-02-13,23:48:27
1018,2780,1,2013-01-08,06:26:23
1018,2812,1,2012-10-15,07:13:00
1018,2880,4,2013-03-11,03:47:43
1018,2928,1,2012-12-09,05:03:17
1018,2934,1,2012-12-21,01:24:14
1018,2942,6,2014-08-22,00:39:04
1018,2958,1,2013-01-03,21:31:46
1018,2961,1,2012-12-19,06:24:36
1018,2963,1,2012-12-07,22:19:29
1018,2969,1,2012-12-12,22:40:46
1018,3,-10,2014-02-26,16:15:47
1018,3000,2,2013-03-04,19:36:08
1018,3006,1,2013-03-01,23:48:41
1018,3013,3,2013-03-26,18:49:26
1018,3020,1,2012-12-09,00:10:29
1018,308,1,2012-12-17,02:00:23
1018,3107,5,2013-06-12,05:41:37
1018,3127,1,2012-12-09,05:26:56
1018,3143,4,2013-05-06,18:12:59
1018,3145,3,2012-12-17,06:46:43
1018,3161,7,2013-10-31,21:56:40
1018,3164,1,2012-12-12,17:37:27
1018,3185,1,2013-01-08,18:02:05
1018,3190,2,2012-12-19,20:32:19
1018,3193,1,2012-12-18,16:39:21
1018,3194,1,2012-12-20,22:12:43
1018,3198,4,2013-01-26,03:43:28
1018,3205,1,2012-12-20,02:07:23
1018,3219,9,2013-05-21,20:23:18
1018,3223,1,2013-04-02,20:08:01
1018,3225,1,2012-12-31,19:22:36
1018,3229,2,2013-06-28,01:03:21
1018,3233,1,2012-12-31,22:08:28
1018,3237,1,2013-03-24,19:39:44
1018,3240,1,2012-12-26,22:39:16
1018,3242,1,2013-06-11,00:03:17
1018,3245,1,2012-12-27,23:18:39
1018,3251,1,2012-12-29,02:42:00
1018,3272,2,2013-04-24,04:22:11
1018,3292,2,2013-01-29,23:27:42
1018,3295,1,2013-01-07,20:14:42
1018,3309,6,2013-02-14,07:26:23
1018,3316,1,2013-01-15,00:18:57
1018,3327,2,2015-03-06,00:13:31
1018,3338,1,2013-01-16,05:17:48
1018,3355,6,2013-01-20,07:11:33
1018,3366,1,2013-01-21,20:36:37
1018,3374,1,2013-01-23,21:08:41
1018,3381,1,2013-02-18,21:35:46
1018,3385,2,2013-04-08,22:33:49
1018,3406,4,2013-12-13,03:13:08
1018,3436,2,2013-02-03,23:26:12
1018,3438,2,2013-03-06,18:30:03
1018,3466,-10,2013-03-11,23:01:00
1018,3476,1,2013-03-05,21:54:56
1018,3496,1,2013-03-20,17:46:59
1018,3520,1,2013-02-21,22:58:09
1018,3531,1,2013-07-10,21:47:03
1018,3550,2,2013-02-28,18:15:24
1018,3568,1,2013-03-02,00:11:40
1018,3571,2,2013-03-12,20:46:37
1018,3598,3,2012-12-13,22:38:03
1018,363,2,2013-02-16,23:46:23
1018,3646,1,2013-03-16,20:16:23
1018,3649,2,2014-12-31,22:06:34
1018,3650,1,2013-03-12,00:41:14
1018,3655,1,2014-09-11,22:51:14
1018,3671,1,2013-03-14,05:15:27
1018,3673,1,2013-03-14,18:25:27
1018,3697,1,2013-03-18,20:56:13
1018,3710,1,2013-03-20,17:59:05
1018,3713,2,2013-12-05,02:14:16
1018,3714,4,2015-01-16,21:56:51
1018,3715,1,2013-04-13,09:51:05
1018,3735,1,2013-04-09,01:52:24
1018,3744,-10,2013-04-01,23:46:35
1018,3746,2,2014-06-02,21:40:12
1018,3828,3,2015-06-19,19:11:50
1018,3837,4,2013-09-13,19:44:01
1018,3916,1,2013-04-29,19:08:19
1018,3926,3,2013-07-05,18:43:39
1018,3981,2,2013-05-10,22:29:21
1018,4049,1,2013-10-19,21:08:33
1018,4077,1,2013-04-15,17:07:31
1018,4078,1,2013-05-01,22:40:32
1018,4098,1,2013-04-29,17:43:40
1018,41,1,2012-10-08,02:34:39
1018,4118,2,2013-04-23,23:31:22
1018,4146,1,2013-04-23,18:34:06
1018,4147,1,2013-04-23,19:57:14
1018,4170,1,2013-04-26,16:55:22
1018,4172,7,2015-08-25,15:54:29
1018,4176,3,2013-05-14,18:50:44
1018,4197,1,2013-10-31,04:16:23
1018,4198,1,2013-07-17,21:44:51
1018,4209,1,2013-07-16,23:33:26
1018,4228,3,2013-05-06,18:19:18
1018,4235,2,2013-06-04,16:32:59
1018,4246,1,2013-05-09,18:19:59
1018,4247,3,2013-05-21,19:56:03
1018,4248,5,2013-10-08,19:33:38
1018,4253,2,2013-11-14,03:04:11
1018,4282,1,2013-05-16,16:53:56
1018,4291,6,2014-08-11,21:53:27
1018,4365,1,2013-10-01,19:46:20
1018,4371,1,2013-06-03,19:30:55
1018,4416,1,2013-08-02,16:21:59
1018,4488,1,2013-06-28,23:06:40
1018,4519,1,2014-11-10,21:16:11
1018,4532,1,2013-07-08,22:18:04
1018,4534,1,2013-11-24,20:28:29
1018,4570,1,2014-04-19,22:42:45
1018,4609,1,2013-08-02,23:53:46
1018,4610,3,2013-09-26,22:01:45
1018,4613,1,2013-07-25,21:28:25
1018,4745,1,2013-09-11,21:00:04
1018,4850,1,2014-01-08,06:50:28
1018,4857,1,2013-09-14,06:47:38
1018,4918,1,2013-10-15,18:23:55
1018,4960,7,2013-10-31,04:17:00
1018,5408,1,2014-02-19,17:16:18
1018,5500,1,2014-04-08,18:34:14
1018,5529,1,2014-08-15,22:35:41
1018,5569,4,2015-12-16,16:11:09
1018,5576,-10,2014-05-15,04:55:04
1018,57,8,2014-05-23,03:16:36
1018,5746,-10,2014-08-21,20:35:57
1018,5879,5,2015-01-03,02:55:38
1018,5882,3,2015-03-13,17:20:51
1018,5895,1,2015-01-31,07:45:26
1018,592,4,2013-01-29,23:49:57
1018,6,2,2012-12-09,00:45:43
1018,62,-10,2014-02-26,16:15:58
1018,729,-10,2013-03-02,00:22:43
1018,841,1,2013-03-15,20:08:36
1018,882,1,2011-09-06,02:01:02
1018,905,1,2016-01-07,04:17:47
1018,925,1,2011-06-09,08:05:44
1018,984,-10,2011-06-14,03:50:42
1019,1018,1,2011-06-09,08:06:31
1019,1020,1,2011-06-09,08:26:56
1019,1055,1,2011-06-14,08:02:50
1019,632,1,2011-06-09,08:48:47
1019,896,1,2011-06-09,08:40:15
1019,908,2,2011-06-11,08:14:00
1020,1022,1,2011-06-09,09:35:11
1020,537,1,2011-06-09,08:22:03
1020,557,3,2011-06-09,08:21:06
1020,760,4,2011-06-09,22:03:52
1021,1012,1,2011-06-12,01:37:05
1021,1100,1,2011-06-12,01:40:09
1021,917,1,2011-06-09,08:40:50
1022,1020,1,2011-06-09,09:35:35
1022,1084,1,2011-06-11,08:33:35
1023,923,10,2011-06-09,12:11:19
1024,832,8,2011-06-09,12:11:02
1024,908,5,2011-06-09,12:14:22
1025,626,1,2011-06-09,12:12:37
1025,978,2,2011-06-24,02:26:20
1026,1043,2,2011-06-10,17:57:30
1026,489,2,2011-06-09,15:55:44
1026,538,1,2011-06-12,01:28:53
1026,726,1,2011-06-09,13:06:58
1026,742,1,2011-06-10,04:37:02
1026,832,-1,2011-06-12,12:18:32
1026,908,10,2011-06-10,12:14:24
1026,937,2,2011-06-10,09:50:10
1026,962,5,2011-06-11,06:46:07
1027,832,9,2011-06-09,12:54:26
1028,1100,1,2011-06-18,22:18:09
1028,1152,1,2011-06-15,02:23:54
1028,1167,1,2011-06-16,22:03:06
1028,1200,1,2011-06-21,12:21:15
1028,1226,1,2011-06-25,09:10:14
1028,1317,1,2011-08-09,01:50:20
1028,1322,1,2011-08-22,03:14:56
1028,1386,1,2011-10-03,06:25:59
1028,1746,1,2012-10-08,19:41:12
1028,586,1,2011-06-11,11:49:33
1028,925,1,2011-06-09,13:00:43
1029,775,1,2011-06-09,19:13:59
1030,35,2,2011-06-12,12:22:40
1030,775,2,2011-06-12,12:20:30
1031,707,5,2011-06-09,13:38:11
1032,832,3,2011-06-09,15:13:46
1033,832,1,2011-06-09,15:32:26
1034,1162,1,2011-08-15,21:06:56
1034,1217,2,2011-08-15,13:00:50
1034,1332,2,2011-07-13,21:45:16
1034,1334,1,2012-02-22,09:04:50
1034,1348,2,2011-08-15,09:01:20
1034,4315,3,2014-05-21,08:46:48
1034,4618,1,2013-10-23,17:34:43
1034,468,4,2011-08-19,14:04:07
1034,4787,1,2013-10-11,08:18:53
1034,7,1,2011-08-21,06:18:18
1034,832,-10,2011-08-15,20:59:56
1036,1092,1,2011-06-14,04:08:14
1036,455,1,2011-06-17,04:35:08
1036,907,2,2011-06-09,18:55:42
1037,1257,2,2011-06-28,21:02:00
1037,1260,2,2011-06-25,20:20:25
1037,1269,2,2011-06-28,16:51:42
1037,732,2,2011-06-09,21:13:32
1039,1013,1,2011-06-09,20:35:30
104,1,2,2011-03-31,21:39:06
104,1018,1,2012-12-01,02:04:30
104,1053,4,2011-07-07,21:16:23
104,108,1,2011-02-01,18:08:47
104,110,2,2011-03-06,19:37:49
104,111,4,2011-05-09,20:25:04
104,113,1,2011-03-06,22:28:42
104,13,4,2012-05-09,00:18:30
104,132,1,2011-02-21,02:33:56
104,1396,5,2012-02-10,22:19:30
104,1464,5,2011-09-11,00:29:19
104,149,1,2011-03-23,03:38:33
104,1490,3,2011-11-03,04:33:24
104,153,2,2011-02-16,22:59:20
104,1551,3,2011-11-03,04:51:49
104,1565,2,2012-03-07,01:38:55
104,1629,3,2012-01-05,05:52:31
104,171,1,2011-03-07,19:17:32
104,177,2,2011-06-03,01:59:02
104,179,-1,2011-03-22,02:07:16
104,189,2,2011-03-05,02:52:29
104,190,1,2011-03-05,06:48:39
104,191,1,2011-03-06,20:00:45
104,202,3,2011-04-03,01:00:28
104,2049,2,2012-05-08,22:51:32
104,2297,3,2012-07-31,04:05:11
104,23,10,2012-03-02,00:31:08
104,296,5,2011-05-09,20:25:31
104,35,3,2014-11-13,23:22:41
104,356,3,2011-05-03,01:00:05
104,363,3,2011-06-03,02:00:49
104,3649,3,2014-12-06,02:56:48
104,3988,1,2014-11-17,23:52:30
104,41,1,2011-01-06,04:37:48
104,418,2,2011-05-02,23:11:27
104,4197,5,2015-01-28,18:36:37
104,427,3,2011-05-03,08:31:13
104,4320,1,2015-04-02,19:27:58
104,4365,1,2014-11-23,05:32:49
104,4499,1,2015-10-16,03:35:00
104,462,2,2011-05-09,21:27:12
104,4649,5,2015-04-11,04:16:56
104,499,4,2011-05-09,20:24:47
104,51,1,2015-04-02,16:43:12
104,535,5,2011-09-11,00:29:28
104,5844,1,2014-11-15,03:22:56
104,60,3,2011-03-23,06:16:25
104,64,5,2011-05-09,20:26:19
104,705,4,2011-05-30,06:10:07
104,712,4,2011-05-27,05:25:31
104,757,2,2011-06-07,20:29:47
104,88,3,2011-04-08,20:33:29
104,882,2,2012-01-11,06:17:24
104,892,1,2014-09-28,00:48:03
104,917,1,2012-06-11,18:06:14
104,96,1,2014-12-15,20:52:59
1040,1005,5,2011-06-09,22:53:38
1040,178,1,2011-06-18,09:15:03
1040,476,2,2011-06-10,07:28:38
1040,664,2,2011-06-18,10:33:00
1040,805,-10,2011-06-10,05:38:40
1042,1074,-10,2011-06-28,23:18:16
1042,476,1,2011-06-09,22:37:14
1043,1014,1,2011-06-10,06:41:40
1043,1026,2,2011-06-10,16:35:45
1043,1118,1,2011-06-13,04:50:23
1043,1129,1,2011-06-14,07:49:54
1043,113,2,2011-06-14,21:59:57
1043,1130,1,2011-06-14,07:05:49
1043,1154,1,2011-06-29,06:55:31
1043,1162,2,2011-06-22,06:29:53
1043,198,2,2011-06-12,21:35:50
1043,270,2,2011-06-29,06:24:43
1043,353,2,2011-06-11,23:46:17
1043,484,2,2011-06-11,04:45:50
1043,538,1,2011-06-29,07:51:27
1043,651,1,2011-06-22,23:57:43
1043,767,1,2011-06-15,03:22:25
1043,872,3,2011-06-13,03:35:00
1044,13,6,2012-06-20,13:07:17
1044,1744,1,2012-03-23,07:29:04
1044,1771,1,2012-05-17,08:07:21
1044,1921,1,2012-05-31,09:21:36
1044,1922,1,2012-05-03,10:24:18
1044,2028,2,2012-06-26,08:29:59
1044,2067,1,2012-05-30,10:24:22
1044,2141,1,2012-07-09,20:55:34
1044,35,1,2012-06-12,00:47:08
1044,546,1,2012-06-26,06:31:18
1044,832,1,2011-06-10,00:28:32
1044,905,1,2012-06-11,12:11:59
1044,937,6,2012-07-17,14:07:37
1045,1005,1,2011-06-10,01:04:01
1045,1084,5,2011-06-11,08:36:36
1046,1395,2,2011-08-06,03:35:11
1046,353,5,2011-06-13,03:21:17
1046,60,4,2011-06-13,03:19:37
1047,832,2,2011-06-10,01:36:20
1048,1005,3,2011-06-10,01:43:18
1048,1009,3,2011-06-10,01:43:25
1048,1013,3,2011-06-10,02:31:05
1048,209,2,2011-06-17,21:06:47
1049,178,2,2011-06-10,02:40:30
105,41,1,2011-02-04,17:44:22
1050,1005,3,2011-06-10,06:38:36
1050,109,1,2011-06-11,02:01:38
1050,832,2,2011-06-10,02:22:28
1051,178,1,2011-06-10,02:28:58
1051,920,1,2011-06-10,02:52:56
1052,1,4,2015-02-10,20:55:53
1052,1018,1,2015-05-06,00:09:57
1052,135,1,2015-05-06,00:11:37
1052,1366,5,2012-08-21,08:57:29
1052,1383,-1,2013-01-25,03:45:25
1052,1512,1,2015-05-06,00:12:03
1052,1743,5,2013-12-13,10:12:43
1052,178,1,2011-06-10,02:39:02
1052,1810,1,2015-05-01,19:51:07
1052,1815,1,2015-05-06,00:08:30
1052,192,1,2015-05-06,00:08:15
1052,1953,1,2015-05-06,00:07:53
1052,2028,2,2013-01-26,01:28:41
